song_id,song,artist,reentry_date,previous_chart_date,previous_position,comeback_position,rank_jump,previous_popularity,comeback_popularity,popularity_change,peak_rank_after_comeback,rank_recovery,retention_days,momentum_score,retention_category,album_type,total_tracks,duration_min,is_explicit,content_type
3D (Justin Timberlake Remix) - Jung Kook & Justin Timberlake,3D (Justin Timberlake Remix),Jung Kook & Justin Timberlake,2024-12-03,2024-11-27,28,38,-10,71,75,4,36,0,3,1.6,Short (1–3 days),single,1,2.682366666666667,False,Clean
3D (feat. Jack Harlow) (Instrumental) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,2024-10-09,2024-10-05,28,50,-22,55,60,5,38,0,5,2.0,Medium (4–7 days),single,3,3.325833333333333,False,Clean
3D (feat. Jack Harlow) - Jung Kook,3D (feat. Jack Harlow),Jung Kook,2025-03-15,2025-03-13,5,6,-1,83,83,0,4,1,10,0.6,Strong (8–14 days),album,7,3.3635333333333333,True,Explicit
3D (feat. Jack Harlow) - Jung Kook,3D (feat. Jack Harlow),Jung Kook,2025-03-26,2025-03-24,4,5,-1,82,82,0,4,0,107,0.0,Long (15+ days),album,7,3.3635333333333333,True,Explicit
3D (feat. Jack Harlow) - Jung Kook,3D (feat. Jack Harlow),Jung Kook,2025-07-12,2025-07-10,11,10,1,78,78,0,4,7,32,4.2,Long (15+ days),album,7,3.3635333333333333,True,Explicit
3D (feat. Jack Harlow) - Jung Kook,3D (feat. Jack Harlow),Jung Kook,2025-08-14,2025-08-12,5,5,0,79,79,0,4,1,106,0.6,Long (15+ days),album,7,3.3635333333333333,True,Explicit
A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,2024-10-16,2024-06-06,50,50,0,56,57,1,25,25,1,15.4,Short (1–3 days),album,12,3.8893333333333335,False,Clean
A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,2024-10-19,2024-10-16,50,49,1,57,57,0,25,25,1,15.0,Short (1–3 days),album,12,3.8893333333333335,False,Clean
A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,2024-10-21,2024-10-19,49,45,4,57,57,0,25,24,112,14.399999999999999,Long (15+ days),album,12,3.8893333333333335,False,Clean
A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,2025-02-11,2025-02-09,45,49,-4,59,58,-1,45,0,2,0.0,Short (1–3 days),album,12,3.8893333333333335,False,Clean
