song_id,song,artist,reentry_frequency,avg_momentum,max_momentum,avg_rank_jump,avg_popularity_change,avg_retention_days,reentry_score,spike_score,recovery_score,fandom_intensity_score
3D (Justin Timberlake Remix) - Jung Kook & Justin Timberlake,3D (Justin Timberlake Remix),Jung Kook & Justin Timberlake,1,1.6,1.6,-10.0,4.0,3.0,0.0,4.597701149425287,0.0,1.61
3D (feat. Jack Harlow) (Instrumental) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,1,2.0,2.0,-22.0,5.0,5.0,0.0,5.747126436781609,0.0,2.01
3D (feat. Jack Harlow) - Jung Kook,3D (feat. Jack Harlow),Jung Kook,4,1.3499999999999999,4.2,-0.25,0.0,63.75,10.0,0.0,0.0,4.0
A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,6,7.966666666666666,15.4,0.8333333333333334,0.0,20.0,16.666666666666664,0.0,2.9761904761904763,7.41
A bientot - Lim Young Woong,A bientot,Lim Young Woong,24,12.383333333333333,19.2,-0.4583333333333333,-0.25,10.875,76.66666666666667,0.0,0.0,30.67
ABCD - NAYEON,ABCD,NAYEON,1,2.4,2.4,4.0,0.0,2.0,0.0,0.0,14.285714285714285,3.57
AK47 - Men's Tear & 뷰티풀너드,AK47,Men's Tear & 뷰티풀너드,2,1.0999999999999999,1.7999999999999998,0.0,0.5,6.0,3.3333333333333335,0.5747126436781609,0.0,1.53
ANTIFRAGILE - LE SSERAFIM,ANTIFRAGILE,LE SSERAFIM,1,0.0,0.0,-7.0,0.0,2.0,0.0,0.0,0.0,0.0
All I Want for Christmas Is You - Mariah Carey,All I Want for Christmas Is You,Mariah Carey,1,21.4,21.4,20.0,1.0,11.0,0.0,1.1494252873563218,71.42857142857143,18.26
All Or Nothing - J Money & KingLee,All Or Nothing,J Money & KingLee,1,5.2,5.2,4.0,7.0,1.0,0.0,8.045977011494253,14.285714285714285,6.39
Alone - Jimin,Alone,Jimin,6,4.966666666666667,11.4,-3.8333333333333335,0.0,17.833333333333332,16.666666666666664,0.0,0.0,6.67
