song_id,song,artist,reentry_count,first_chart_date,last_chart_date,chart_days,exit_dates,reentry_dates,gap_days
1-800-hot-n-fun - LE SSERAFIM,1-800-hot-n-fun,LE SSERAFIM,0,2025-09-01,2025-09-08,8,[],[],[]
24YB (Intro) - YANGHONGWON,24YB (Intro),YANGHONGWON,0,2025-05-26,2025-05-28,3,[],[],[]
3D (Alternate Ver.) - Jung Kook & Jack Harlow,3D (Alternate Ver.),Jung Kook & Jack Harlow,0,2024-10-02,2024-10-21,20,[],[],[]
3D (Justin Timberlake Remix) - Jung Kook & Justin Timberlake,3D (Justin Timberlake Remix),Jung Kook & Justin Timberlake,1,2024-11-25,2024-12-05,6,[Timestamp('2024-11-27 00:00:00')],[Timestamp('2024-12-03 00:00:00')],[5]
3D (feat. Jack Harlow) (Alternate Ver.) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow) (Alternate Ver.),Jung Kook & Jack Harlow,0,2024-09-30,2024-10-01,2,[],[],[]
3D (feat. Jack Harlow) (Instrumental) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,1,2024-09-30,2024-10-13,11,[Timestamp('2024-10-05 00:00:00')],[Timestamp('2024-10-09 00:00:00')],[3]
3D (feat. Jack Harlow) (MK Remix) - Jung Kook & Jack Harlow & MK,3D (feat. Jack Harlow) (MK Remix),Jung Kook & Jack Harlow & MK,0,2024-10-31,2024-11-03,4,[],[],[]
3D (feat. Jack Harlow) - Jung Kook,3D (feat. Jack Harlow),Jung Kook,4,2025-01-20,2025-11-27,308,"[Timestamp('2025-03-13 00:00:00'), Timestamp('2025-03-24 00:00:00'), Timestamp('2025-07-10 00:00:00'), Timestamp('2025-08-12 00:00:00')]","[Timestamp('2025-03-15 00:00:00'), Timestamp('2025-03-26 00:00:00'), Timestamp('2025-07-12 00:00:00'), Timestamp('2025-08-14 00:00:00')]","[1, 1, 1, 1]"
3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,0,2024-09-30,2025-01-19,112,[],[],[]
990 (Feat. Kim Ximya) - Beenzino,990 (Feat. Kim Ximya),Beenzino,0,2024-07-05,2024-07-09,5,[],[],[]
A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,6,2024-06-06,2025-02-27,121,"[Timestamp('2024-06-06 00:00:00'), Timestamp('2024-10-16 00:00:00'), Timestamp('2024-10-19 00:00:00'), Timestamp('2025-02-09 00:00:00'), Timestamp('2025-02-12 00:00:00'), Timestamp('2025-02-20 00:00:00')]","[Timestamp('2024-10-16 00:00:00'), Timestamp('2024-10-19 00:00:00'), Timestamp('2024-10-21 00:00:00'), Timestamp('2025-02-11 00:00:00'), Timestamp('2025-02-19 00:00:00'), Timestamp('2025-02-26 00:00:00')]","[131, 2, 1, 1, 6, 5]"
